"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cyprus","CYP","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5764690841351","19.5424828170105","14.6305479419647","13.9847219642198","18.0069834211406","8.11989617372204","7.89420638522834","6.54554800290486","9.33614021447721","11.1351874568983","8.759258409679","5.20063112344333","5.24366781529979","5.70272660838498","3.69078569292124","3.13737376497793","3.21748730120091","3.2396625304716","3.06854243485159","2.78549028781621","2.6420009791779","4.69333554651838","4.84325892497381","4.42606130563037","4.11574085887066","3.89506919252989","3.21741308964234","","",
"Czech Republic","CZE","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.43888145672767","6.43244170177699","5.91809952383444","5.74847050001036","5.45238260990637","6.07074316936366","6.41280404137362","6.11028126359331","5.4031764947557","5.32678247709469","5.53373939548408","5.28368448023647","5.43638007500893","4.82579644069791","4.60361930294906","3.96035283607334","3.82668390587745","3.54691592731847","3.23861257686908","3.13368235576715","","","","",
"Germany","DEU","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8052849813878","9.78096678536043","9.67632520555311","6.80182409789109","6.28834269478417","5.64899011664656","5.16597830371373","4.13688381911781","4.79123209956205","4.68892543667618","4.64802386511348","4.68022371111475","4.60957277645518","4.57002435020153","4.53087794482354","4.42991576599319","4.43349468299282","4.36761626637321","4.34223659862661","4.42280854744383","4.53880467818791","4.48113702409803","4.33083754740051","4.43881599101726","4.61342418680235","4.27798162074326","4.19335102435351","","",
"Djibouti","DJI","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.49976761545287","5.27346847084941","5.17988565652737","5.2449548266719","4.93874502997154","4.64893708028573","4.27681448671054","3.98190045248869","4.01270000717515","4.10878371483209","4.12571633780208","4.09906279406366","3.96115653727039","4.1839196700164","4.11627524409479","3.95574075116842","3.86749400241707","3.75787708851246","4.14548277799046","3.62452642455321","3.68599157099347","3.21912090255002","3.30889893670529","3.09895211244576","3.10665741755843","2.96637184990524","","","",
"Dominican Republic","DOM","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.31138881731512","9.43050112565663","9.79873518166735","6.2615530165199","7.92094768481229","8.69844946278067","9.01436354631005","6.94890740639883","7.75165667402966","7.4871283955606","7.47414429943364","7.44915839218393","9.37509400779831","9.97144520330541","8.53274157320373","7.13348041915298","5.1577595390946","5.63821748304301","4.9668199470156","4.61952199985041","4.54553722516142","4.42187317697663","4.69802695032743","4.30173906479948","4.12475352819387","3.95917531265408","","","",
"Algeria","DZA","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4317977760895","12.2265507318644","13.8294875094783","15.2861062194375","16.9085116478749","15.6961126636935","16.5355241166419","16.7605853051059","15.2482463332422","14.926061957964","15.7104723255903","16.5766624229833","13.776961881003","13.9119130120641","13.0153943261914","15.0034208300355","14.3765676117775","14.6484221765723","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3563020037574","16.608708283405","11.2755940278429","15.1946022014673","","","","","","","","",
"Early-demographic dividend","EAR","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3725156237673","18.0160690229045","14.4205930825531","12.8968582587553","13.0599182024342","13.4614855530483","12.9736074678142","12.4907594605031","12.7313597156536","","","","","","","","","","","","","","","","","","",
